"Backend","PP","Buffer.Size","Environment","Model.Unique","response","SE","df","lower.CL","upper.CL"
"wasm-onnx","js","1024","Firefox","guitar-lstm",0.00620371607819813,6.15169591602102e-05,1296.00000000011,0.00608419862924113,0.00632558131713958
"wasm-bypass","wasm","8192","Firefox","guitar-lstm",0.000614718616440329,6.09564002380391e-06,1296.00000000011,0.000602875779028488,0.000626794093481828
"js-bypass","wasm","8192","Firefox","guitar-lstm",0.000614764688341969,6.09609687954269e-06,1296.00000000011,0.000602920963333713,0.000626841070415748
"js-onnx","wasm","8192","Firefox","guitar-lstm",0.00570582133909859,5.65797618505348e-05,1296.00000000011,0.0055958960617233,0.00581790597870519
"wasm-onnx","wasm","8192","Firefox","guitar-lstm",0.00607399029264253,6.02305792305911e-05,1296.00000000011,0.0059569720707227,0.00619330720995638
"wasm-bypass","js","8192","Firefox","guitar-lstm",0.000652891786694928,6.4741707827825e-06,1296.00000000011,0.000640313525567701,0.000665717134048929
"js-bypass","js","8192","Firefox","guitar-lstm",0.000657592144894945,6.52078022457258e-06,1296.00000000011,0.00064492332920104,0.000670509825661361
"js-onnx","js","8192","Firefox","guitar-lstm",0.00575028167339546,5.70206370509331e-05,1296.00000000011,0.00563949984719235,0.00586323968779778
"wasm-onnx","js","8192","Firefox","guitar-lstm",0.00611841259581727,6.06710773088002e-05,1296.00000000011,0.00600053855775671,0.00623860214084691
"wasm-bypass","wasm","128","Safari","guitar-lstm",0.00115546144710229,1.14577252982896e-05,1296.00000000122,0.00113320094988013,0.00117815922752354
"js-bypass","wasm","128","Safari","guitar-lstm",0.00122478782245354,1.21451758114122e-05,1295.99999999986,0.00120119172066421,0.00124884744393758
"js-onnx","wasm","128","Safari","guitar-lstm",0.00765902641443981,7.5948030052487e-05,1295.99999999986,0.00751147174123916,0.00780947963832845
"wasm-onnx","wasm","128","Safari","guitar-lstm",0.00719507127316453,7.13473827762026e-05,1295.99999999986,0.00705645490955393,0.00733641060411595
"wasm-bypass","js","128","Safari","guitar-lstm",0.00121036429433721,1.20021499896496e-05,1295.99999999887,0.00118704606846349,0.00123414058133623
"js-bypass","js","128","Safari","guitar-lstm",0.00131273886859018,1.30173112936105e-05,1296.00000000011,0.00128744834936865,0.00133852619248959
"js-onnx","js","128","Safari","guitar-lstm",0.00736787648655289,7.30609446350404e-05,1296.00000000011,0.00722593095087666,0.00751261038752563
